galaxy,r_kpc,v_obs_kms,mass_msun,rd_kpc
CamB,0.16,1.99,72930.35115844001,3.0
CamB,0.41,4.84,72930.35115844001,3.0
CamB,0.57,6.79,72930.35115844001,3.0
CamB,0.73,8.87,72930.35115844001,3.0
CamB,0.90,10.90,72930.35115844001,3.0
CamB,1.06,12.90,72930.35115844001,3.0
CamB,1.22,14.70,72930.35115844001,3.0
CamB,1.47,16.80,72930.35115844001,3.0
CamB,1.79,20.10,72930.35115844001,3.0
D564-8,0.51,8.54,11682.172672810002,3.0
D564-8,1.02,15.10,11682.172672810002,3.0
D564-8,1.53,19.80,11682.172672810002,3.0
D564-8,2.04,21.90,11682.172672810002,3.0
D564-8,2.56,24.00,11682.172672810002,3.0
D564-8,3.07,25.00,11682.172672810002,3.0
D631-7,0.45,8.41,155257.51314528997,3.0
D631-7,0.90,17.80,155257.51314528997,3.0
D631-7,1.35,26.00,155257.51314528997,3.0
D631-7,1.80,30.90,155257.51314528997,3.0
D631-7,2.25,34.70,155257.51314528997,3.0
D631-7,2.69,38.80,155257.51314528997,3.0
D631-7,3.14,42.50,155257.51314528997,3.0
D631-7,3.59,45.60,155257.51314528997,3.0
D631-7,4.04,48.80,155257.51314528997,3.0
D631-7,4.49,51.80,155257.51314528997,3.0
D631-7,4.94,54.80,155257.51314528997,3.0
D631-7,5.39,56.60,155257.51314528997,3.0
D631-7,5.84,58.40,155257.51314528997,3.0
D631-7,6.29,58.50,155257.51314528997,3.0
D631-7,6.74,57.70,155257.51314528997,3.0
D631-7,7.19,57.30,155257.51314528997,3.0
DDO064,0.10,6.29,620460.2622490004,3.0
DDO064,0.30,13.90,620460.2622490004,3.0
DDO064,0.49,15.60,620460.2622490004,3.0
DDO064,0.69,18.40,620460.2622490004,3.0
DDO064,0.89,22.50,620460.2622490004,3.0
DDO064,1.09,26.50,620460.2622490004,3.0
DDO064,1.29,35.30,620460.2622490004,3.0
DDO064,1.48,40.50,620460.2622490004,3.0
DDO064,1.68,44.20,620460.2622490004,3.0
DDO064,1.88,46.30,620460.2622490004,3.0
DDO064,2.08,46.40,620460.2622490004,3.0
DDO064,2.27,46.30,620460.2622490004,3.0
DDO064,2.37,46.40,620460.2622490004,3.0
DDO064,2.98,46.90,620460.2622490004,3.0
DDO154,0.49,13.80,80540.85072784004,3.0
DDO154,0.99,21.60,80540.85072784004,3.0
DDO154,1.48,28.90,80540.85072784004,3.0
DDO154,1.97,34.30,80540.85072784004,3.0
DDO154,2.47,38.20,80540.85072784004,3.0
DDO154,2.96,42.00,80540.85072784004,3.0
DDO154,3.46,44.60,80540.85072784004,3.0
DDO154,3.95,46.30,80540.85072784004,3.0
DDO154,4.44,47.40,80540.85072784004,3.0
DDO154,4.94,48.20,80540.85072784004,3.0
DDO154,5.43,47.40,80540.85072784004,3.0
DDO154,5.92,45.50,80540.85072784004,3.0
DDO161,0.60,16.00,917925.33428964,3.0
DDO161,0.73,16.60,917925.33428964,3.0
DDO161,0.85,18.60,917925.33428964,3.0
DDO161,0.98,20.00,917925.33428964,3.0
DDO161,1.07,21.40,917925.33428964,3.0
DDO161,1.54,28.90,917925.33428964,3.0
DDO161,2.02,32.90,917925.33428964,3.0
DDO161,2.49,35.20,917925.33428964,3.0
DDO161,2.96,37.60,917925.33428964,3.0
DDO161,3.43,40.60,917925.33428964,3.0
DDO161,3.90,42.70,917925.33428964,3.0
DDO161,4.37,45.50,917925.33428964,3.0
DDO161,4.86,48.90,917925.33428964,3.0
DDO161,5.34,51.50,917925.33428964,3.0
DDO161,5.81,53.00,917925.33428964,3.0
DDO161,6.28,55.00,917925.33428964,3.0
DDO161,6.75,57.60,917925.33428964,3.0
DDO161,7.22,59.70,917925.33428964,3.0
DDO161,7.69,60.50,917925.33428964,3.0
DDO161,8.16,61.80,917925.33428964,3.0
DDO161,8.64,62.90,917925.33428964,3.0
DDO161,9.11,63.00,917925.33428964,3.0
DDO161,9.58,64.50,917925.33428964,3.0
DDO161,10.05,65.60,917925.33428964,3.0
DDO161,10.52,67.50,917925.33428964,3.0
DDO161,10.99,66.80,917925.33428964,3.0
DDO161,11.46,66.80,917925.33428964,3.0
DDO161,11.94,66.60,917925.33428964,3.0
DDO161,12.41,66.80,917925.33428964,3.0
DDO161,12.90,66.30,917925.33428964,3.0
DDO161,13.37,66.10,917925.33428964,3.0
DDO168,0.41,15.00,616357.67214025,3.0
DDO168,0.82,23.40,616357.67214025,3.0
DDO168,1.24,29.20,616357.67214025,3.0
DDO168,1.64,36.20,616357.67214025,3.0
DDO168,2.06,44.00,616357.67214025,3.0
DDO168,2.47,52.10,616357.67214025,3.0
DDO168,2.89,52.90,616357.67214025,3.0
DDO168,3.30,54.80,616357.67214025,3.0
DDO168,3.71,55.00,616357.67214025,3.0
DDO168,4.12,52.00,616357.67214025,3.0
DDO170,1.87,27.70,714549.1651620099,3.0
DDO170,3.36,42.40,714549.1651620099,3.0
DDO170,4.86,52.50,714549.1651620099,3.0
DDO170,6.35,55.60,714549.1651620099,3.0
DDO170,7.85,58.60,714549.1651620099,3.0
DDO170,9.34,59.00,714549.1651620099,3.0
DDO170,10.83,60.00,714549.1651620099,3.0
DDO170,12.33,62.20,714549.1651620099,3.0
ESO079-G014,0.41,33.20,291471383.0360892,3.0
ESO079-G014,0.98,50.40,291471383.0360892,3.0
ESO079-G014,1.78,53.90,291471383.0360892,3.0
ESO079-G014,2.69,67.60,291471383.0360892,3.0
ESO079-G014,3.36,81.70,291471383.0360892,3.0
