galaxy,mass_msun,rd_kpc
CamB,72930.35115844001,3.0
D564-8,11682.172672810002,3.0
D631-7,155257.51314528997,3.0
DDO064,620460.2622490004,3.0
DDO154,80540.85072784004,3.0
DDO161,917925.33428964,3.0
DDO168,616357.67214025,3.0
DDO170,714549.1651620099,3.0
ESO079-G014,291471383.0360892,3.0
ESO116-G012,10796371.237402244,3.0
ESO444-G084,79277.94821955997,3.0
ESO563-G021,1505281405.2971177,3.0
F561-1,10893044.13270544,3.0
F563-1,3013697.736000252,3.0
F563-V1,904625.06947684,3.0
F563-V2,8958727.226636892,3.0
F565-V2,1174827.2871302494,3.0
F567-2,2818741.810138809,3.0
F568-1,22502781.717874084,3.0
F568-3,15359038.337908812,3.0
F568-V1,5736481.496082089,3.0
F571-8,10238229.196562894,3.0
F571-V1,2359100.6248449595,3.0
F574-1,11698017.715932248,3.0
F574-2,4463464.529095691,3.0
F579-V1,26345497.25458226,3.0
F583-1,3445740.5404243595,3.0
F583-4,2563362.7035502507,3.0
IC2574,1723364.54779204,3.0
IC4202,1422951011.6681235,3.0
KK98-251,209865.32183236,3.0
NGC0024,4100920.25031441,3.0
NGC0055,11789829.39815041,3.0
NGC0100,4315887.002323688,3.0
NGC0247,12845449.52621401,3.0
NGC0289,52352361.84724625,3.0
NGC0300,2927396.7827176885,3.0
NGC0801,870525917.6668463,3.0
NGC0891,1609102196.618179,3.0
NGC1003,5683796.440297962,3.0
NGC1090,196465381.1219988,3.0
NGC1705,339527.28648609,3.0
NGC2366,746754.0126904899,3.0
NGC2403,13711155.88702084,3.0
NGC2683,108590133.99428098,3.0
NGC2841,309678696.855638,3.0
NGC2903,232541897.7063002,3.0
NGC2915,455039.4232692101,3.0
NGC2955,2101049096.3562448,3.0
NGC2976,39902190.90848762,3.0
NGC2998,444085848.4156804,3.0
NGC3109,287309.4001562501,3.0
NGC3198,37050625.52100626,3.0
NGC3521,552449171.0547112,3.0
NGC3726,130599206.85600102,3.0
NGC3741,38062.137063040005,3.0
NGC3769,10126571.225310758,3.0
NGC3877,1363229719.8230927,3.0
NGC3893,262881801.019626,3.0
NGC3917,77821129.39201222,3.0
NGC3949,689921672.9028718,3.0
NGC3953,2426763127.1375937,3.0
NGC3972,89185603.97896898,3.0
